lf,fc,rf,ll,rr,sin_err,cos_err,dist_norm,left_out,right_out
0.8288,0.8219,0.7320,0.9059,0.6441,0.0381,-0.9993,0.6837,0.4167,0.2083
0.8292,0.8223,0.7068,0.9061,0.6316,0.0375,-0.9993,0.6828,0.4167,0.2083
0.8294,0.8226,0.6831,0.9062,0.6194,0.0368,-0.9993,0.6819,0.4167,0.2083
0.8296,0.8228,0.6630,0.9063,0.6073,0.0361,-0.9993,0.6810,0.4167,0.2083
0.8296,0.8228,0.6458,0.9063,0.5960,0.0353,-0.9994,0.6802,0.4167,0.2083
0.8295,0.7977,0.6267,0.9063,0.5853,0.0345,-0.9994,0.6793,0.4167,0.2083
0.8293,0.7606,0.6090,0.9062,0.5753,0.0337,-0.9994,0.6785,0.4167,0.2083
0.8290,0.7264,0.5926,0.9060,0.5659,0.0328,-0.9995,0.6777,0.4167,0.2083
0.8286,0.6950,0.5789,0.9058,0.5571,0.0318,-0.9995,0.6769,0.4167,0.2083
0.8282,0.6663,0.5658,0.9056,0.5489,0.0308,-0.9995,0.6762,0.4167,0.2083
0.8279,0.6396,0.5520,0.9054,0.5413,0.0298,-0.9996,0.6754,0.4167,0.2083
0.8275,0.6149,0.5393,0.9053,0.5342,0.0287,-0.9996,0.6747,0.4167,0.2083
0.7946,0.5918,0.5279,0.9051,0.5243,0.0276,-0.9996,0.6741,0.4167,0.2083
0.7492,0.5703,0.5190,0.9050,0.5141,0.0264,-0.9997,0.6734,0.4167,0.2083
0.7077,0.5502,0.5082,0.9050,0.5083,0.0252,-0.9997,0.6728,0.4167,0.2083
0.6700,0.5366,0.4982,0.9050,0.5023,0.0240,-0.9997,0.6722,0.4167,0.2083
0.6358,0.5189,0.4884,0.9050,0.4956,0.0227,-0.9997,0.6717,0.4167,0.2083
0.6045,0.5025,0.4812,0.8981,0.4875,0.0214,-0.9998,0.6711,0.4167,0.2083
0.5759,0.4916,0.4728,0.8301,0.4798,0.0201,-0.9998,0.6707,0.4167,0.2083
0.5496,0.4770,0.4637,0.7706,0.4726,0.0188,-0.9998,0.6702,0.4167,0.2083
0.5316,0.4635,0.4563,0.7179,0.4660,0.0174,-0.9998,0.6698,0.4167,0.2083
0.5089,0.4547,0.4483,0.6711,0.4599,0.0160,-0.9999,0.6694,0.4167,0.2083
0.4931,0.4425,0.4403,0.6313,0.4544,0.0145,-0.9999,0.6691,0.4167,0.2083
0.4735,0.4312,0.4343,0.6005,0.4493,0.0131,-0.9999,0.6688,0.4167,0.2083
0.4562,0.4237,0.4268,0.5731,0.4446,0.0117,-0.9999,0.6685,0.4167,0.2083
